COSMIC_ID,CELL_LINE_NAME,TCGA_DESC,DRUG_ID,LN_IC50,Z_SCORE
905989,KM12,COREAD,1011,2.077276,0.089124
998189,LS-180,COREAD,1011,2.434242,0.269113
907289,HT-115,COREAD,1011,0.251011,-0.831713
910700,C2BBe1,COREAD,1011,1.249444,-0.328285
910569,COLO-320-HSR,COREAD,1011,2.937006,0.522616
910689,COLO-678,COREAD,1011,3.313704,0.712554
1659823,SNU-1040,COREAD,1011,0.256859,-0.828765
907792,LS-123,COREAD,1011,0.415413,-0.748819
909751,SW48,COREAD,1012,1.537072,-0.007793
905962,SW620,COREAD,1012,0.932291,-0.586781
909740,SNU-C2B,COREAD,1012,2.136776,0.566335
909718,SK-CO-1,COREAD,1012,1.249649,-0.282959
905971,HCC2998,COREAD,1012,1.721428,0.168701
1660035,SNU-61,COREAD,1012,1.573011,0.026613
1674021,SNU-C5,COREAD,1012,1.079073,-0.44626
1659928,SNU-175,COREAD,1012,1.22901,-0.302717
909748,SW1463,COREAD,1012,1.223191,-0.308288
907790,LoVo,COREAD,1012,0.389296,-1.106619
909746,SW1116,COREAD,1012,1.701075,0.149216
1240124,CL-40,COREAD,1012,0.940693,-0.578738
908457,NCI-H747,COREAD,1012,1.663918,0.113643
909698,RKO,COREAD,1012,2.066443,0.499002
908458,NCI-H716,COREAD,1012,2.325215,0.746738
907794,LS-411N,COREAD,1012,0.818801,-0.695431
907291,GP5d,COREAD,1012,1.48034,-0.062105
1240173,MDST8,COREAD,1012,1.083322,-0.442191
909747,SW1417,COREAD,1012,3.010992,1.403267
909761,T84,COREAD,1012,1.246406,-0.286063
910905,SNU-C1,COREAD,1012,2.200288,0.627138
909755,SW837,COREAD,1012,0.827946,-0.686677
1290769,CL-11,COREAD,1012,1.360752,-0.176594
905939,HT-29,COREAD,1012,0.970182,-0.550507
909263,RCM-1,COREAD,1012,0.902432,-0.615368
905937,HCT-15,COREAD,1012,1.848663,0.29051
924108,CaR-1,COREAD,1012,0.819261,-0.694991
1789883,DiFi,COREAD,1012,0.599651,-0.905235
905961,COLO-205,COREAD,1012,0.63773,-0.868781
907287,HT55,COREAD,1012,1.580337,0.033627
909757,SW948,COREAD,1012,1.031763,-0.491551
917486,LS-1034,COREAD,1012,2.059083,0.491955
910554,CW-2,COREAD,1012,1.118374,-0.408634
1660034,SNU-407,COREAD,1012,2.550598,0.962508
1240123,CCK-81,COREAD,1012,0.510106,-0.990961
905936,HCT-116,COREAD,1012,0.761631,-0.750164
905989,KM12,COREAD,1012,1.372737,-0.16512
998189,LS-180,COREAD,1012,1.783061,0.227706
910700,C2BBe1,COREAD,1012,1.512307,-0.031502
910569,COLO-320-HSR,COREAD,1012,-0.001645,-1.480888
910689,COLO-678,COREAD,1012,5.12451,3.426649
907792,LS-123,COREAD,1012,1.744826,0.191101
909751,SW48,COREAD,1013,4.446172,0.67299
905962,SW620,COREAD,1013,4.809712,0.900576
909740,SNU-C2B,COREAD,1013,5.35096,1.239413
909718,SK-CO-1,COREAD,1013,1.753848,-1.012482
905971,HCC2998,COREAD,1013,2.835501,-0.335337
1660035,SNU-61,COREAD,1013,4.912422,0.964876
1674021,SNU-C5,COREAD,1013,2.97175,-0.250041
1659928,SNU-175,COREAD,1013,3.679719,0.193168
909748,SW1463,COREAD,1013,3.489339,0.073985
907790,LoVo,COREAD,1013,3.906623,0.335217
909746,SW1116,COREAD,1013,5.552915,1.365843
1240124,CL-40,COREAD,1013,4.640791,0.794827
908457,NCI-H747,COREAD,1013,5.572823,1.378306
909698,RKO,COREAD,1013,1.785854,-0.992446
908458,NCI-H716,COREAD,1013,4.137244,0.479592
907794,LS-411N,COREAD,1013,3.691138,0.200317
907291,GP5d,COREAD,1013,3.140274,-0.14454
1240173,MDST8,COREAD,1013,3.80199,0.269713
909747,SW1417,COREAD,1013,6.255703,1.805809
909761,T84,COREAD,1013,4.107587,0.461026
910905,SNU-C1,COREAD,1013,3.691919,0.200806
909755,SW837,COREAD,1013,5.162225,1.12126
1290769,CL-11,COREAD,1013,5.157797,1.118488
905939,HT-29,COREAD,1013,3.337,-0.021384
909263,RCM-1,COREAD,1013,5.644244,1.423018
905937,HCT-15,COREAD,1013,2.67046,-0.438657
924108,CaR-1,COREAD,1013,4.554805,0.740997
1789883,DiFi,COREAD,1013,4.15131,0.488397
905961,COLO-205,COREAD,1013,2.106232,-0.79188
907287,HT55,COREAD,1013,4.098197,0.455148
909757,SW948,COREAD,1013,4.905058,0.960265
917486,LS-1034,COREAD,1013,3.675812,0.190722
910554,CW-2,COREAD,1013,1.756944,-1.010544
1660034,SNU-407,COREAD,1013,4.547083,0.736163
1240123,CCK-81,COREAD,1013,3.927317,0.348172
905936,HCT-116,COREAD,1013,2.146155,-0.766887
905989,KM12,COREAD,1013,3.069382,-0.18892
998189,LS-180,COREAD,1013,3.647947,0.173278
910700,C2BBe1,COREAD,1013,2.623225,-0.468228
910569,COLO-320-HSR,COREAD,1013,0.897321,-1.548693
910689,COLO-678,COREAD,1013,7.698671,2.709148
907792,LS-123,COREAD,1013,5.973003,1.62883
909751,SW48,COREAD,1017,4.45494,-0.081173
905962,SW620,COREAD,1017,4.620505,0.044775
908442,NCI-H508,COREAD,1017,5.390377,0.630433
909740,SNU-C2B,COREAD,1017,5.363569,0.610039
909718,SK-CO-1,COREAD,1017,1.722479,-2.159814
905971,HCC2998,COREAD,1017,3.838692,-0.549966
1674021,SNU-C5,COREAD,1017,4.563348,0.001295
1659928,SNU-175,COREAD,1017,3.776282,-0.597443
909748,SW1463,COREAD,1017,5.677183,0.848613
907790,LoVo,COREAD,1017,5.157681,0.453417
909746,SW1116,COREAD,1017,6.289336,1.31429
1240124,CL-40,COREAD,1017,5.115566,0.421378
907795,LS-513,COREAD,1017,4.151497,-0.312009
908457,NCI-H747,COREAD,1017,5.619207,0.804509
909698,RKO,COREAD,1017,4.772993,0.160776
908458,NCI-H716,COREAD,1017,5.36858,0.613851
1660036,SNU-81,COREAD,1017,3.651255,-0.692553
907794,LS-411N,COREAD,1017,6.031847,1.118413
907291,GP5d,COREAD,1017,4.879917,0.242115
1240173,MDST8,COREAD,1017,3.70076,-0.654894
909747,SW1417,COREAD,1017,7.876467,2.521654
909761,T84,COREAD,1017,5.195652,0.482302
1290771,CL-34,COREAD,1017,4.05525,-0.385226
910905,SNU-C1,COREAD,1017,6.048632,1.131181
909755,SW837,COREAD,1017,4.874011,0.237622
1290769,CL-11,COREAD,1017,6.927275,1.799583
905939,HT-29,COREAD,1017,6.383059,1.385587
909263,RCM-1,COREAD,1017,7.275705,2.064641
905937,HCT-15,COREAD,1017,4.914337,0.268299
924108,CaR-1,COREAD,1017,4.872108,0.236175
1789883,DiFi,COREAD,1017,5.720665,0.88169
905961,COLO-205,COREAD,1017,3.603916,-0.728566
907287,HT55,COREAD,1017,4.360374,-0.153112
909757,SW948,COREAD,1017,5.161825,0.456569
917486,LS-1034,COREAD,1017,4.634272,0.055248
910554,CW-2,COREAD,1017,5.219021,0.500079
1660034,SNU-407,COREAD,1017,3.689649,-0.663346
1240123,CCK-81,COREAD,1017,4.799978,0.181304
905936,HCT-116,COREAD,1017,3.182147,-1.049413
905989,KM12,COREAD,1017,4.462806,-0.075189
998189,LS-180,COREAD,1017,5.029621,0.355999
907289,HT-115,COREAD,1017,4.944437,0.291197
910700,C2BBe1,COREAD,1017,6.999935,1.854858
910569,COLO-320-HSR,COREAD,1017,4.817836,0.194889
910689,COLO-678,COREAD,1017,7.851123,2.502374
