"CID","MolecularFormula","MolecularWeight","CanonicalSMILES"
117072552,"C22H28N4O2",380.500000,"C1CC(C1)NC2=NC=CC(=C2)C(=O)NCC(CN3CCC4=CC=CC=C4C3)O"
51000408,"C18H16N4O3S",368.400000,"CS(=O)(=O)C1=CC=C(C=C1)C2=CN=C(C(=N2)C(=O)NC3=CC=CC=C3)N"
11977753,"C30H23N5O",469.500000,"CC(C)(C#N)C1=CC=C(C=C1)N2C3=C4C=C(C=CC4=NC=C3N(C2=O)C)C5=CC6=CC=CC=C6N=C5"
72200024,"C25H29ClN6O3",497.000000,"CCC(=O)NC1=CC(=CC=C1)OC2=NC(=NC=C2Cl)NC3=C(C=C(C=C3)N4CCN(CC4)C)OC"
9825149,"C28H31N5O",453.600000,"C1CCN(C1)CC2CC(C2)N3C=C(C4=C(N=CN=C43)N)C5=CC(=CC=C5)OCC6=CC=CC=C6"
49847690,"C58H78N8O8",1015.300000,"CC(C(=O)NC(C1CCCCC1)C(=O)N2CCCC2C(=O)NC3C(CC4=CC=CC=C34)OCC#CC#CCOC5CC6=CC=CC=C6C5NC(=O)C7CCCN7C(=O)C(C8CCCCC8)NC(=O)C(C)NC)NC"
57519544,"C25H21N3O",379.500000,"CC1=NC=CC(=C1)C2=CC=C(C=C2)CC(=O)NC3=CC=C(C=C3)C4=CN=CC=C4"
68740,"C5H10N2O7P2",272.090000,"C1=CN(C=N1)CC(O)(P(=O)(O)O)P(=O)(O)O"
148124,"C43H53NO14",807.900000,"CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O"
243725,"C23H24O6",396.400000,"CC(C)C1CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4C3=O)OC)OC"
11655119,"C26H27N5O2",441.500000,"C1CC2=C(C(=NN2C1)C3=CC=CC=N3)C4=C5C=CC(=CC5=NC=C4)OCCN6CCOCC6"
2802462,"C18H16O2",264.300000,"CC(C)C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2"
